Player,teamAbbreviation,GP,MPG,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%
Shake_Milton,DET,4,15.8,6.8,4.5,1.5,0.5,0.3,0.8,42.3,33.3,66.7
Jaylen_Nowell,DET,4,14.5,7.5,2.5,0.8,0.3,0.5,0.5,52.2,33.3,66.7
James_Wiseman,DET,63,17.3,7.1,5.3,0.9,0.2,0.6,1,61.3,0,70.6
Malachi_Flynn,DET,24,14.3,8,1.8,2.1,0.8,0.1,1.1,43,31.6,68.4
Isaiah_Stewart,DET,46,30.9,10.9,6.6,1.6,0.4,0.8,1.4,48.7,38.3,75.3
Killian_Hayes,DET,42,24,6.9,2.8,4.9,0.9,0.5,1.2,41.3,29.7,66
Cade_Cunningham,DET,62,33.5,22.7,4.3,7.5,0.9,0.4,3.4,44.9,35.5,86.9
Isaiah_Livers,DET,23,20.4,5,2.1,1.1,0.6,0.2,0.7,34.5,28.6,66.7
Quentin_Grimes,DET,6,19.2,5.3,2,2.3,0.8,0.7,1.2,21.4,14.3,90.9
Jalen_Duren,DET,61,29.1,13.8,11.6,2.4,0.5,0.8,2.1,61.9,0,79
Buddy_Boeheim,DET,10,8.4,3.4,1,0.3,0,0.1,0,31,32,80
Jaden_Ivey,DET,77,28.8,15.4,3.4,3.8,0.7,0.5,2.5,42.9,33.6,74.9
Simone_Fontecchio,DET,16,30.3,15.4,4.4,1.8,0.9,0.3,1.1,47.9,42.6,84.6
Andrew_Wiggins,GSW,71,27,13.2,4.5,1.7,0.6,0.6,1.2,45.3,35.8,75.1
Klay_Thompson,GSW,77,29.7,17.9,3.3,2.3,0.6,0.5,1.5,43.2,38.7,92.7
Pat_Spencer,GSW,6,4.3,0.7,0.7,0.8,0,0,0.2,50,0,0
Dario_Saric,GSW,64,17.2,8,4.4,2.3,0.5,0.2,1.2,46.6,37.6,84.9
Gui_Santos,GSW,23,8.3,3.6,2.1,0.6,0.2,0.1,0.3,50.9,37,94.1
Jerome_Robinson,GSW,22,3.7,1.4,0.3,0.2,0,0.1,0.1,33.3,11.8,63.6
Lester_Quinones,GSW,37,10.6,4.4,1.9,1,0.2,0.1,0.5,39.7,36.4,69
Brandin_Podziemski,GSW,74,26.6,9.2,5.8,3.7,0.8,0.2,1.2,45.4,38.5,63.3
Gary_Payton_II,GSW,44,15.5,5.5,2.6,1.1,0.9,0.4,0.6,56.3,36.4,60.9
Chris_Paul,GSW,58,26.4,9.2,3.9,6.8,1.2,0.1,1.3,44.1,37.1,82.7
Moses_Moody,GSW,66,17.5,8.1,3,0.9,0.6,0.4,0.7,46.2,36,78.5
Kevon_Looney,GSW,74,16.1,4.5,5.7,1.8,0.4,0.4,0.7,59.7,0,67.5
Jonathan_Kuminga,GSW,74,26.3,16.1,4.8,2.2,0.7,0.5,1.6,52.9,32.1,74.6
Cory_Joseph,GSW,26,11.4,2.4,1.2,1.6,0.2,0.1,0.5,35.9,31,57.1
Trayce_Jackson-Davis,GSW,68,16.6,7.9,5,1.2,0.4,1.1,0.7,70.2,0,56.1
Draymond_Green,GSW,55,27.1,8.6,7.2,6,1,0.9,2.5,49.7,39.5,73
Usman_Garuba,GSW,6,3,0.5,1.2,0.2,0.2,0.5,0.3,16.7,0,50
Stephen_Curry,GSW,74,32.7,26.4,4.5,5.1,0.7,0.4,2.8,45,40.8,92.3
Reggie_Bullock_Jr.,HOU,44,9.5,2.2,1.7,0.3,0.3,0.1,0.2,41.5,40.3,100
Jeff_Green,HOU,78,16.8,6.5,2.3,0.9,0.2,0.4,0.6,45.5,32.9,81.9
Boban_Marjanovic,HOU,14,5.1,3.2,2.3,0.4,0.1,0.1,0.4,52.9,0,64.3
Fred_VanVleet,HOU,73,36.8,17.4,3.8,8.1,1.4,0.8,1.7,41.6,38.7,86
Dillon_Brooks,HOU,72,30.9,12.7,3.4,1.7,0.9,0.1,1.2,42.9,35.9,84.4
Aaron_Holiday,HOU,78,16.3,6.6,1.6,1.8,0.5,0.1,0.7,44.6,38.7,92.1
Jae'Sean_Tate,HOU,65,15.9,4.1,3,1,0.6,0.2,0.6,47.2,29.9,66.7
Nate_Hinton,HOU,15,5,2.2,1.5,0.7,0.2,0.1,0.2,42.3,50,80
Alperen_Sengun,HOU,63,32.5,21.1,9.3,5,1.2,0.7,2.6,53.7,29.7,69.3
Jalen_Green,HOU,82,31.7,19.6,5.1,3.5,0.8,0.3,2.3,42.2,33.2,80.4
Jock_Landale,HOU,56,13.6,4.9,3.1,1.2,0.4,0.6,0.6,51.5,25,80
Jabari_Smith_Jr.,HOU,76,31.9,13.7,8.1,1.6,0.7,0.8,1.2,45.4,36.3,81.1
